00:4e:35:cf:67:20,00:4e:35:cf:67:23,00:4e:35:cf:67:24,00:4e:35:dc:50:a0,00:4e:35:dc:50:a1,00:4e:35:dc:50:a2,00:4e:35:dc:65:e0,00:4e:35:dc:65:e2,00:4e:35:dc:65:e3,00:4e:35:dc:6c:20,00:4e:35:dc:6c:23,00:4e:35:dc:6c:24,00:4e:35:dc:9b:a0,00:4e:35:dc:9b:a3,00:4e:35:dc:9b:a4,00:4e:35:dd:06:e0,00:4e:35:dd:06:e2,00:4e:35:dd:06:e3,00:4e:35:dd:0b:20,00:4e:35:dd:0b:22,00:4e:35:dd:0b:23,00:4e:35:dd:2b:60,00:4e:35:dd:2b:63,00:4e:35:dd:2b:64,00:4e:35:dd:65:e0,00:4e:35:dd:65:e3,00:4e:35:dd:65:e4,34:64:a9:63:bc:43,ae:50:de:f7:50:1b,b8:3a:5a:b1:2d:60,b8:3a:5a:b1:2d:63,b8:3a:5a:b1:2d:64,b8:3a:5a:b1:45:80,b8:3a:5a:b1:45:83,b8:3a:5a:b1:45:84,b8:3a:5a:b2:2e:c0,b8:3a:5a:b2:2e:c3,b8:3a:5a:b2:2e:c4,b8:3a:5a:b2:6e:60,b8:3a:5a:b2:6e:63,b8:3a:5a:b2:6e:64,b8:3a:5a:b2:99:80,b8:3a:5a:b2:99:83,b8:3a:5a:b2:99:84,b8:3a:5a:b2:9c:e0,b8:3a:5a:b2:9c:e3,b8:3a:5a:b2:9c:e4,d0:d3:e0:97:a8:40,d0:d3:e0:97:a8:41,d0:d3:e0:97:a8:42,d0:d3:e0:97:a8:44,d0:d3:e0:97:bb:40,d0:d3:e0:97:bb:41,d0:d3:e0:97:bb:44,d0:d3:e0:97:c2:60,d0:d3:e0:97:c2:61,d0:d3:e0:97:c2:63,d0:d3:e0:97:c4:c0,d0:d3:e0:97:c4:c1,d0:d3:e0:97:c4:c3,d0:d3:e0:97:e9:60,d0:d3:e0:97:e9:61,d0:d3:e0:97:e9:62,d0:d3:e0:97:f5:c0,d0:d3:e0:97:f5:c3,d0:d3:e0:97:f5:c4,d0:d3:e0:98:08:80,d0:d3:e0:98:08:81,d0:d3:e0:98:08:82,e4:8d:8c:36:28:53,RP
-75.0,-74.0,-74.0,-90.0,-89.0,-90.0,-87.0,-87.0,-87.0,-89.0,-89.0,-89.0,-94.0,-87.0,-82.0,-85.0,-85.0,-85.0,-87.0,-87.0,-87.0,-89.0,-92.0,-92.0,-77.0,-76.0,-73.0,-60.0,-73.0,-67.0,-68.0,-68.0,-68.0,-68.0,-69.0,-84.0,-90.0,-88.0,-71.0,-71.0,-71.0,-72.0,-70.0,-70.0,-90.0,-89.0,-89.0,-68.0,-68.0,-72.0,-68.0,-74.0,-71.0,-72.0,-71.0,-69.0,-70.0,-76.0,-75.0,-74.0,-72.0,-70.0,-69.0,-75.0,-75.0,-76.0,-70.0,-70.0,-70.0,-59.0,RP0
-75.0,-74.0,-74.0,-90.0,-89.0,-90.0,-87.0,-87.0,-87.0,-89.0,-89.0,-89.0,-94.0,-87.0,-82.0,-85.0,-85.0,-85.0,-87.0,-87.0,-87.0,-89.0,-92.0,-92.0,-77.0,-76.0,-73.0,-60.0,-73.0,-67.0,-68.0,-68.0,-68.0,-68.0,-69.0,-84.0,-90.0,-88.0,-71.0,-71.0,-71.0,-72.0,-70.0,-70.0,-89.0,-88.0,-88.0,-68.0,-68.0,-72.0,-68.0,-74.0,-71.0,-72.0,-69.0,-69.0,-70.0,-76.0,-75.0,-74.0,-72.0,-70.0,-69.0,-75.0,-75.0,-76.0,-70.0,-70.0,-70.0,-59.0,RP0
-75.0,-74.0,-74.0,-90.0,-89.0,-90.0,-87.0,-87.0,-87.0,-89.0,-89.0,-89.0,-94.0,-82.0,-85.0,-85.0,-85.0,-85.0,-87.0,-87.0,-87.0,-89.0,-92.0,-92.0,-77.0,-76.0,-73.0,-60.0,-73.0,-67.0,-68.0,-68.0,-68.0,-68.0,-69.0,-84.0,-90.0,-88.0,-71.0,-71.0,-71.0,-72.0,-70.0,-70.0,-89.0,-88.0,-88.0,-68.0,-68.0,-72.0,-68.0,-74.0,-71.0,-72.0,-69.0,-69.0,-70.0,-76.0,-75.0,-74.0,-72.0,-70.0,-69.0,-75.0,-75.0,-76.0,-70.0,-70.0,-70.0,-59.0,RP0
-75.0,-74.0,-74.0,-90.0,-89.0,-90.0,-87.0,-87.0,-87.0,-87.0,-91.0,-92.0,-94.0,-82.0,-85.0,-85.0,-85.0,-85.0,-87.0,-87.0,-87.0,-89.0,-92.0,-92.0,-77.0,-76.0,-73.0,-60.0,-73.0,-67.0,-68.0,-68.0,-68.0,-68.0,-69.0,-85.0,-84.0,-85.0,-71.0,-71.0,-71.0,-72.0,-70.0,-70.0,-89.0,-88.0,-88.0,-68.0,-68.0,-72.0,-68.0,-74.0,-71.0,-72.0,-69.0,-69.0,-70.0,-76.0,-75.0,-74.0,-72.0,-70.0,-69.0,-75.0,-75.0,-76.0,-70.0,-70.0,-70.0,-59.0,RP0
-75.0,-74.0,-74.0,-90.0,-89.0,-90.0,-87.0,-87.0,-87.0,-87.0,-91.0,-92.0,-94.0,-85.0,-85.0,-85.0,-85.0,-85.0,-87.0,-87.0,-87.0,-89.0,-92.0,-92.0,-77.0,-76.0,-73.0,-60.0,-73.0,-67.0,-68.0,-68.0,-68.0,-68.0,-69.0,-81.0,-84.0,-83.0,-71.0,-71.0,-71.0,-72.0,-70.0,-70.0,-89.0,-88.0,-88.0,-68.0,-68.0,-72.0,-68.0,-74.0,-71.0,-72.0,-69.0,-69.0,-70.0,-76.0,-75.0,-74.0,-72.0,-70.0,-69.0,-75.0,-75.0,-76.0,-70.0,-70.0,-70.0,-59.0,RP0
-75.0,-74.0,-74.0,-90.0,-89.0,-90.0,-87.0,-87.0,-87.0,-87.0,-91.0,-92.0,-94.0,-85.0,-85.0,-85.0,-85.0,-85.0,-87.0,-87.0,-87.0,-89.0,-92.0,-92.0,-77.0,-76.0,-73.0,-60.0,-73.0,-67.0,-68.0,-68.0,-68.0,-68.0,-69.0,-81.0,-84.0,-83.0,-71.0,-71.0,-71.0,-72.0,-70.0,-70.0,-89.0,-88.0,-88.0,-68.0,-68.0,-72.0,-68.0,-74.0,-71.0,-72.0,-69.0,-69.0,-70.0,-76.0,-75.0,-74.0,-72.0,-70.0,-69.0,-75.0,-75.0,-76.0,-70.0,-70.0,-70.0,-59.0,RP1
-75.0,-74.0,-74.0,-90.0,-89.0,-90.0,-87.0,-88.0,-87.0,-87.0,-91.0,-92.0,-94.0,-85.0,-85.0,-85.0,-85.0,-85.0,-87.0,-87.0,-87.0,-89.0,-92.0,-92.0,-77.0,-76.0,-73.0,-62.0,-75.0,-71.0,-69.0,-70.0,-68.0,-68.0,-69.0,-81.0,-82.0,-85.0,-71.0,-71.0,-70.0,-72.0,-72.0,-72.0,-89.0,-88.0,-88.0,-72.0,-71.0,-72.0,-73.0,-74.0,-73.0,-73.0,-69.0,-71.0,-70.0,-76.0,-75.0,-74.0,-72.0,-71.0,-69.0,-76.0,-75.0,-76.0,-71.0,-71.0,-71.0,-61.0,RP1
-78.0,-74.0,-73.0,-87.0,-89.0,-88.0,-87.0,-88.0,-87.0,-87.0,-91.0,-91.0,-86.0,-85.0,-88.0,-85.0,-85.0,-85.0,-87.0,-84.0,-86.0,-89.0,-92.0,-92.0,-74.0,-71.0,-76.0,-61.0,-77.0,-71.0,-70.0,-71.0,-67.0,-68.0,-67.0,-81.0,-82.0,-81.0,-71.0,-71.0,-70.0,-75.0,-72.0,-72.0,-89.0,-88.0,-88.0,-72.0,-71.0,-70.0,-73.0,-73.0,-73.0,-73.0,-70.0,-71.0,-69.0,-81.0,-77.0,-74.0,-70.0,-72.0,-72.0,-76.0,-76.0,-79.0,-71.0,-71.0,-72.0,-62.0,RP1
-78.0,-74.0,-73.0,-87.0,-88.0,-88.0,-87.0,-88.0,-87.0,-87.0,-91.0,-91.0,-86.0,-85.0,-88.0,-85.0,-85.0,-85.0,-87.0,-84.0,-86.0,-89.0,-92.0,-92.0,-74.0,-71.0,-81.0,-61.0,-77.0,-71.0,-70.0,-71.0,-67.0,-68.0,-67.0,-81.0,-82.0,-81.0,-71.0,-71.0,-70.0,-75.0,-72.0,-72.0,-88.0,-88.0,-88.0,-72.0,-71.0,-70.0,-73.0,-73.0,-73.0,-73.0,-73.0,-71.0,-69.0,-81.0,-77.0,-76.0,-70.0,-72.0,-72.0,-76.0,-76.0,-79.0,-71.0,-71.0,-72.0,-62.0,RP1
-78.0,-74.0,-73.0,-87.0,-88.0,-88.0,-87.0,-88.0,-87.0,-87.0,-89.0,-91.0,-86.0,-88.0,-89.0,-85.0,-85.0,-85.0,-87.0,-84.0,-86.0,-91.0,-92.0,-91.0,-74.0,-71.0,-81.0,-61.0,-77.0,-71.0,-70.0,-71.0,-67.0,-68.0,-67.0,-79.0,-82.0,-81.0,-71.0,-71.0,-70.0,-75.0,-72.0,-72.0,-89.0,-88.0,-88.0,-72.0,-71.0,-70.0,-73.0,-73.0,-73.0,-73.0,-73.0,-71.0,-69.0,-81.0,-77.0,-76.0,-70.0,-72.0,-72.0,-76.0,-76.0,-79.0,-71.0,-71.0,-72.0,-62.0,RP1
