00:25:9c:42:48:25,00:4e:35:de:d7:40,00:4e:35:de:d7:43,00:4e:35:de:d7:44,00:4e:35:de:d7:45,00:4e:35:de:e1:00,00:4e:35:de:e1:03,00:4e:35:de:e1:04,00:4e:35:de:e1:10,00:4e:35:de:e1:13,00:4e:35:de:e1:14,00:4e:35:df:06:50,00:4e:35:df:06:53,00:4e:35:df:06:54,00:4e:35:df:0e:00,00:4e:35:df:0e:03,00:4e:35:df:0e:04,20:a6:cd:42:0b:e0,20:a6:cd:42:0b:e1,20:a6:cd:42:0b:e2,20:a6:cd:42:0b:e3,20:a6:cd:50:24:a0,20:a6:cd:50:24:a1,20:a6:cd:50:24:a2,26:e8:29:51:87:a2,38:17:c3:19:36:20,38:17:c3:19:45:a0,38:17:c3:19:45:a3,38:17:c3:19:45:a4,38:17:c3:19:55:40,38:17:c3:19:55:43,38:17:c3:19:55:44,38:17:c3:19:55:50,38:17:c3:19:55:53,38:17:c3:19:55:54,38:17:c3:19:71:80,38:17:c3:19:71:83,38:17:c3:19:71:84,38:17:c3:19:71:90,38:17:c3:19:71:93,38:17:c3:19:71:94,38:17:c3:19:d7:60,38:17:c3:19:d7:61,38:17:c3:19:d7:62,38:17:c3:1e:fc:a0,38:17:c3:1e:fc:a3,38:17:c3:1e:fc:a4,38:17:c3:1e:fc:b0,38:17:c3:1e:fc:b3,38:17:c3:1e:fc:b4,38:17:c3:1e:ff:00,38:17:c3:1e:ff:03,38:17:c3:1e:ff:04,38:17:c3:1f:01:80,38:17:c3:1f:01:83,38:17:c3:1f:01:84,38:17:c3:1f:01:90,38:17:c3:1f:01:93,38:17:c3:1f:01:94,38:17:c3:1f:08:40,38:17:c3:1f:08:43,38:17:c3:1f:08:44,38:17:c3:1f:09:80,38:17:c3:1f:09:81,38:17:c3:1f:09:82,38:17:c3:1f:09:83,38:17:c3:1f:0e:00,38:17:c3:1f:0e:03,38:17:c3:1f:0e:04,38:17:c3:1f:0e:10,38:17:c3:1f:0e:13,38:17:c3:1f:0e:14,38:17:c3:1f:22:20,38:17:c3:1f:22:23,38:17:c3:1f:22:24,38:17:c3:24:4f:00,38:17:c3:24:4f:01,38:17:c3:24:58:a0,38:17:c3:24:58:a1,38:17:c3:24:58:a2,38:17:c3:24:58:b0,38:17:c3:24:58:b1,38:17:c3:24:58:b2,40:3f:8c:e5:4a:a8,44:48:c1:a5:82:20,44:48:c1:a5:82:23,44:48:c1:a5:82:24,44:48:c1:a5:82:30,44:48:c1:a5:82:33,44:48:c1:a5:82:34,4a:e7:29:57:38:4a,52:3f:8c:e5:4a:a8,7c:10:c9:31:83:4c,80:8d:b7:55:25:e0,80:8d:b7:55:25:e3,80:8d:b7:55:25:e4,80:8d:b7:55:25:e5,80:8d:b7:55:25:f0,80:8d:b7:55:25:f3,80:8d:b7:55:25:f4,80:8d:b7:55:25:f5,80:8d:b7:55:29:c0,80:8d:b7:55:29:c3,80:8d:b7:55:29:c4,80:8d:b7:55:35:00,80:8d:b7:55:35:03,80:8d:b7:55:35:04,80:8d:b7:55:35:05,80:8d:b7:55:35:10,80:8d:b7:55:35:13,80:8d:b7:55:35:14,80:8d:b7:55:35:15,80:8d:b7:55:39:c0,80:8d:b7:55:39:c3,80:8d:b7:55:39:c4,80:8d:b7:55:39:d0,80:8d:b7:55:39:d3,80:8d:b7:55:39:d4,80:8d:b7:55:3a:40,80:8d:b7:55:3a:43,80:8d:b7:55:3a:44,80:8d:b7:55:3a:50,80:8d:b7:55:3a:53,80:8d:b7:55:3a:54,80:8d:b7:55:4d:00,80:8d:b7:55:4d:03,80:8d:b7:55:4d:04,84:c9:b2:6e:2c:d3,a8:bd:27:4c:bd:20,a8:bd:27:4c:bd:23,a8:bd:27:4c:bd:24,a8:bd:27:4c:bd:30,a8:bd:27:4c:bd:33,a8:bd:27:4c:bd:34,b0:be:76:f8:30:5e,b4:5d:50:e1:92:20,b4:5d:50:e1:92:23,b4:5d:50:e1:92:24,b4:5d:50:e1:92:25,b4:5d:50:e1:96:40,b4:5d:50:e1:96:41,b4:5d:50:e1:96:42,b4:5d:50:e1:96:43,b4:5d:50:e1:96:50,b4:5d:50:e1:96:51,b4:5d:50:e1:96:52,b4:5d:50:e1:96:53,b6:2b:4b:a2:a6:ed,ea:9e:b4:53:24:54,RP
-96.0,-88.0,-92.0,-87.0,-87.0,-92.0,-95.0,-96.0,-92.0,-91.0,-92.0,-73.0,-73.0,-60.0,-92.0,-96.0,-91.0,-92.0,-92.0,-91.0,-100.0,-87.0,-87.0,-87.0,-101.0,-98.0,-96.0,-94.0,-94.0,-89.0,-89.0,-90.0,-76.0,-76.0,-76.0,-94.0,-92.0,-94.0,-91.0,-91.0,-90.0,-93.0,-94.0,-94.0,-88.0,-88.0,-87.0,-81.0,-81.0,-80.0,-96.0,-85.0,-95.0,-67.0,-67.0,-67.0,-69.0,-69.0,-69.0,-88.0,-88.0,-87.0,-92.0,-92.0,-91.0,-99.0,-62.0,-71.0,-71.0,-70.0,-69.0,-70.0,-96.0,-98.0,-98.0,-96.0,-97.0,-91.0,-87.0,-91.0,-89.0,-88.0,-89.0,-91.0,-78.0,-78.0,-78.0,-84.0,-85.0,-83.0,-97.0,-90.0,-101.0,-86.0,-91.0,-91.0,-94.0,-84.0,-84.0,-84.0,-83.0,-87.0,-89.0,-89.0,-94.0,-89.0,-94.0,-94.0,-78.0,-78.0,-78.0,-78.0,-76.0,-88.0,-87.0,-85.0,-85.0,-85.0,-87.0,-88.0,-87.0,-80.0,-80.0,-81.0,-72.0,-71.0,-71.0,-102.0,-89.0,-89.0,-90.0,-67.0,-66.0,-67.0,-77.0,-97.0,-93.0,-98.0,-96.0,-97.0,-97.0,-96.0,-102.0,-95.0,-89.0,-89.0,-94.0,-101.0,-58.0,RP0
-96.0,-88.0,-92.0,-87.0,-87.0,-92.0,-95.0,-96.0,-89.0,-88.0,-89.0,-72.0,-72.0,-60.0,-92.0,-96.0,-91.0,-92.0,-92.0,-91.0,-100.0,-87.0,-87.0,-87.0,-101.0,-98.0,-96.0,-94.0,-94.0,-89.0,-89.0,-90.0,-75.0,-75.0,-75.0,-94.0,-92.0,-94.0,-91.0,-91.0,-90.0,-93.0,-94.0,-94.0,-88.0,-88.0,-87.0,-85.0,-86.0,-85.0,-96.0,-85.0,-95.0,-67.0,-67.0,-67.0,-69.0,-69.0,-69.0,-88.0,-88.0,-87.0,-100.0,-100.0,-100.0,-99.0,-62.0,-71.0,-71.0,-70.0,-69.0,-70.0,-96.0,-98.0,-98.0,-96.0,-97.0,-91.0,-89.0,-91.0,-89.0,-88.0,-89.0,-91.0,-78.0,-78.0,-78.0,-84.0,-85.0,-85.0,-97.0,-90.0,-101.0,-86.0,-91.0,-91.0,-84.0,-84.0,-84.0,-84.0,-84.0,-87.0,-89.0,-89.0,-94.0,-89.0,-94.0,-94.0,-78.0,-78.0,-78.0,-78.0,-76.0,-88.0,-87.0,-85.0,-85.0,-85.0,-87.0,-88.0,-87.0,-75.0,-75.0,-76.0,-72.0,-71.0,-71.0,-102.0,-88.0,-88.0,-89.0,-66.0,-66.0,-65.0,-77.0,-97.0,-93.0,-98.0,-96.0,-97.0,-97.0,-96.0,-102.0,-95.0,-89.0,-89.0,-93.0,-101.0,-58.0,RP0
-95.0,-88.0,-97.0,-87.0,-87.0,-92.0,-95.0,-96.0,-89.0,-88.0,-89.0,-72.0,-72.0,-61.0,-92.0,-96.0,-91.0,-92.0,-92.0,-91.0,-100.0,-87.0,-87.0,-87.0,-101.0,-98.0,-96.0,-94.0,-94.0,-94.0,-94.0,-90.0,-75.0,-75.0,-75.0,-94.0,-92.0,-94.0,-86.0,-86.0,-90.0,-93.0,-94.0,-94.0,-88.0,-88.0,-87.0,-85.0,-86.0,-85.0,-96.0,-85.0,-95.0,-67.0,-67.0,-67.0,-69.0,-69.0,-69.0,-87.0,-87.0,-87.0,-100.0,-100.0,-100.0,-99.0,-62.0,-71.0,-71.0,-70.0,-69.0,-70.0,-96.0,-98.0,-98.0,-96.0,-97.0,-91.0,-89.0,-91.0,-89.0,-88.0,-89.0,-91.0,-81.0,-80.0,-80.0,-84.0,-85.0,-85.0,-97.0,-90.0,-101.0,-86.0,-91.0,-91.0,-84.0,-84.0,-84.0,-84.0,-84.0,-87.0,-89.0,-89.0,-94.0,-89.0,-94.0,-94.0,-78.0,-78.0,-78.0,-78.0,-76.0,-88.0,-87.0,-85.0,-85.0,-85.0,-87.0,-88.0,-87.0,-75.0,-75.0,-76.0,-72.0,-71.0,-71.0,-102.0,-88.0,-88.0,-89.0,-66.0,-66.0,-65.0,-77.0,-97.0,-93.0,-98.0,-87.0,-97.0,-97.0,-96.0,-102.0,-95.0,-89.0,-89.0,-93.0,-101.0,-58.0,RP0
-95.0,-88.0,-97.0,-87.0,-87.0,-92.0,-95.0,-96.0,-89.0,-88.0,-89.0,-72.0,-72.0,-61.0,-92.0,-96.0,-91.0,-92.0,-92.0,-91.0,-100.0,-87.0,-87.0,-87.0,-101.0,-98.0,-96.0,-94.0,-94.0,-94.0,-94.0,-90.0,-75.0,-75.0,-75.0,-94.0,-92.0,-94.0,-86.0,-86.0,-90.0,-93.0,-94.0,-94.0,-88.0,-88.0,-87.0,-85.0,-86.0,-85.0,-96.0,-85.0,-95.0,-67.0,-67.0,-67.0,-69.0,-69.0,-69.0,-87.0,-87.0,-87.0,-100.0,-100.0,-100.0,-99.0,-62.0,-71.0,-71.0,-70.0,-69.0,-70.0,-96.0,-98.0,-98.0,-96.0,-97.0,-91.0,-89.0,-91.0,-89.0,-88.0,-89.0,-91.0,-81.0,-80.0,-80.0,-84.0,-85.0,-85.0,-97.0,-90.0,-101.0,-86.0,-91.0,-91.0,-84.0,-84.0,-84.0,-84.0,-84.0,-87.0,-89.0,-89.0,-94.0,-89.0,-94.0,-94.0,-78.0,-78.0,-78.0,-78.0,-76.0,-88.0,-87.0,-85.0,-85.0,-85.0,-87.0,-88.0,-87.0,-75.0,-75.0,-76.0,-72.0,-71.0,-71.0,-102.0,-88.0,-88.0,-88.0,-66.0,-66.0,-65.0,-77.0,-86.0,-78.0,-95.0,-82.0,-97.0,-97.0,-96.0,-102.0,-95.0,-89.0,-89.0,-93.0,-101.0,-58.0,RP0
-95.0,-88.0,-97.0,-87.0,-87.0,-92.0,-95.0,-96.0,-89.0,-88.0,-89.0,-72.0,-72.0,-61.0,-92.0,-96.0,-91.0,-92.0,-92.0,-91.0,-100.0,-87.0,-87.0,-87.0,-101.0,-98.0,-96.0,-94.0,-94.0,-94.0,-94.0,-90.0,-75.0,-75.0,-75.0,-94.0,-92.0,-94.0,-86.0,-86.0,-90.0,-93.0,-94.0,-94.0,-88.0,-88.0,-87.0,-85.0,-86.0,-85.0,-96.0,-85.0,-95.0,-67.0,-67.0,-67.0,-69.0,-69.0,-69.0,-87.0,-87.0,-87.0,-100.0,-100.0,-100.0,-99.0,-62.0,-71.0,-71.0,-70.0,-69.0,-70.0,-96.0,-98.0,-98.0,-96.0,-97.0,-91.0,-89.0,-91.0,-89.0,-88.0,-89.0,-91.0,-81.0,-80.0,-80.0,-84.0,-85.0,-85.0,-97.0,-90.0,-101.0,-86.0,-91.0,-91.0,-84.0,-84.0,-84.0,-84.0,-84.0,-87.0,-89.0,-89.0,-94.0,-89.0,-94.0,-94.0,-78.0,-78.0,-78.0,-78.0,-76.0,-88.0,-87.0,-85.0,-85.0,-85.0,-87.0,-88.0,-87.0,-75.0,-75.0,-76.0,-72.0,-71.0,-71.0,-102.0,-88.0,-88.0,-88.0,-66.0,-66.0,-65.0,-77.0,-79.0,-78.0,-95.0,-82.0,-97.0,-97.0,-96.0,-102.0,-95.0,-89.0,-89.0,-97.0,-101.0,-58.0,RP0
-95.0,-88.0,-97.0,-87.0,-87.0,-91.0,-96.0,-94.0,-89.0,-88.0,-89.0,-72.0,-72.0,-61.0,-92.0,-96.0,-91.0,-92.0,-92.0,-91.0,-100.0,-87.0,-88.0,-87.0,-100.0,-98.0,-91.0,-91.0,-91.0,-94.0,-94.0,-89.0,-75.0,-75.0,-75.0,-94.0,-92.0,-94.0,-86.0,-86.0,-90.0,-94.0,-93.0,-93.0,-88.0,-88.0,-87.0,-85.0,-86.0,-85.0,-85.0,-89.0,-85.0,-68.0,-68.0,-67.0,-67.0,-67.0,-67.0,-87.0,-87.0,-87.0,-100.0,-100.0,-100.0,-90.0,-63.0,-62.0,-62.0,-71.0,-71.0,-70.0,-92.0,-93.0,-95.0,-96.0,-97.0,-91.0,-89.0,-91.0,-89.0,-88.0,-89.0,-91.0,-81.0,-80.0,-80.0,-84.0,-85.0,-85.0,-97.0,-90.0,-101.0,-89.0,-89.0,-91.0,-84.0,-84.0,-84.0,-84.0,-84.0,-88.0,-86.0,-87.0,-82.0,-79.0,-82.0,-79.0,-74.0,-73.0,-74.0,-74.0,-85.0,-86.0,-90.0,-85.0,-85.0,-85.0,-88.0,-91.0,-91.0,-75.0,-75.0,-76.0,-76.0,-76.0,-77.0,-102.0,-92.0,-94.0,-97.0,-66.0,-66.0,-65.0,-77.0,-79.0,-78.0,-87.0,-82.0,-97.0,-97.0,-96.0,-95.0,-96.0,-89.0,-87.0,-97.0,-98.0,-44.0,RP1
-95.0,-88.0,-97.0,-87.0,-87.0,-87.0,-96.0,-94.0,-89.0,-88.0,-89.0,-72.0,-72.0,-61.0,-92.0,-96.0,-91.0,-92.0,-92.0,-91.0,-100.0,-87.0,-88.0,-87.0,-100.0,-98.0,-91.0,-91.0,-91.0,-94.0,-94.0,-89.0,-75.0,-75.0,-75.0,-94.0,-92.0,-94.0,-86.0,-86.0,-90.0,-94.0,-93.0,-93.0,-88.0,-88.0,-87.0,-85.0,-86.0,-85.0,-85.0,-89.0,-85.0,-68.0,-68.0,-67.0,-67.0,-67.0,-67.0,-87.0,-87.0,-88.0,-100.0,-100.0,-100.0,-95.0,-63.0,-62.0,-62.0,-71.0,-71.0,-70.0,-92.0,-93.0,-95.0,-96.0,-97.0,-91.0,-89.0,-91.0,-89.0,-88.0,-89.0,-91.0,-80.0,-81.0,-80.0,-84.0,-85.0,-85.0,-97.0,-91.0,-101.0,-89.0,-79.0,-91.0,-85.0,-84.0,-84.0,-84.0,-84.0,-88.0,-86.0,-87.0,-82.0,-79.0,-82.0,-79.0,-74.0,-73.0,-74.0,-74.0,-85.0,-86.0,-90.0,-82.0,-83.0,-83.0,-88.0,-91.0,-91.0,-75.0,-75.0,-76.0,-76.0,-76.0,-77.0,-102.0,-92.0,-94.0,-97.0,-66.0,-66.0,-65.0,-77.0,-79.0,-77.0,-83.0,-82.0,-97.0,-97.0,-97.0,-95.0,-96.0,-89.0,-89.0,-97.0,-98.0,-44.0,RP1
-96.0,-88.0,-97.0,-87.0,-87.0,-86.0,-96.0,-94.0,-89.0,-88.0,-89.0,-72.0,-72.0,-61.0,-92.0,-96.0,-91.0,-92.0,-92.0,-91.0,-100.0,-87.0,-88.0,-87.0,-100.0,-98.0,-91.0,-91.0,-91.0,-94.0,-94.0,-94.0,-75.0,-75.0,-75.0,-94.0,-92.0,-94.0,-86.0,-86.0,-90.0,-94.0,-93.0,-93.0,-88.0,-88.0,-87.0,-85.0,-86.0,-85.0,-85.0,-89.0,-85.0,-68.0,-68.0,-67.0,-67.0,-67.0,-67.0,-87.0,-87.0,-88.0,-100.0,-100.0,-100.0,-95.0,-63.0,-62.0,-62.0,-71.0,-71.0,-70.0,-92.0,-93.0,-95.0,-96.0,-97.0,-91.0,-89.0,-91.0,-89.0,-88.0,-89.0,-91.0,-80.0,-81.0,-80.0,-84.0,-85.0,-85.0,-97.0,-91.0,-100.0,-89.0,-79.0,-91.0,-85.0,-84.0,-84.0,-84.0,-84.0,-88.0,-86.0,-87.0,-82.0,-79.0,-82.0,-79.0,-74.0,-73.0,-74.0,-74.0,-85.0,-86.0,-90.0,-79.0,-83.0,-83.0,-88.0,-91.0,-91.0,-75.0,-75.0,-76.0,-76.0,-76.0,-77.0,-102.0,-92.0,-92.0,-97.0,-66.0,-66.0,-65.0,-77.0,-80.0,-77.0,-83.0,-82.0,-97.0,-97.0,-97.0,-95.0,-96.0,-89.0,-89.0,-97.0,-98.0,-44.0,RP1
-96.0,-88.0,-97.0,-87.0,-87.0,-86.0,-96.0,-94.0,-89.0,-88.0,-89.0,-72.0,-72.0,-61.0,-92.0,-96.0,-91.0,-92.0,-92.0,-91.0,-100.0,-87.0,-88.0,-87.0,-100.0,-98.0,-91.0,-91.0,-91.0,-94.0,-94.0,-94.0,-75.0,-75.0,-75.0,-94.0,-92.0,-94.0,-86.0,-86.0,-90.0,-94.0,-93.0,-93.0,-88.0,-88.0,-87.0,-85.0,-86.0,-85.0,-85.0,-89.0,-85.0,-68.0,-68.0,-67.0,-67.0,-67.0,-67.0,-87.0,-87.0,-87.0,-100.0,-100.0,-100.0,-95.0,-63.0,-62.0,-62.0,-71.0,-71.0,-70.0,-92.0,-93.0,-95.0,-96.0,-97.0,-91.0,-89.0,-91.0,-89.0,-88.0,-89.0,-91.0,-80.0,-81.0,-80.0,-84.0,-85.0,-85.0,-97.0,-91.0,-100.0,-89.0,-79.0,-92.0,-85.0,-84.0,-84.0,-84.0,-84.0,-88.0,-86.0,-87.0,-82.0,-79.0,-82.0,-79.0,-74.0,-73.0,-74.0,-74.0,-81.0,-86.0,-90.0,-79.0,-83.0,-83.0,-88.0,-91.0,-91.0,-75.0,-75.0,-76.0,-76.0,-76.0,-77.0,-102.0,-92.0,-92.0,-97.0,-66.0,-66.0,-65.0,-77.0,-80.0,-77.0,-83.0,-82.0,-100.0,-100.0,-97.0,-98.0,-96.0,-89.0,-89.0,-97.0,-101.0,-44.0,RP1
-92.0,-88.0,-97.0,-87.0,-87.0,-86.0,-96.0,-94.0,-89.0,-88.0,-89.0,-72.0,-72.0,-61.0,-92.0,-96.0,-91.0,-92.0,-92.0,-91.0,-101.0,-87.0,-88.0,-87.0,-100.0,-98.0,-91.0,-91.0,-91.0,-86.0,-86.0,-94.0,-75.0,-75.0,-75.0,-94.0,-92.0,-94.0,-86.0,-86.0,-90.0,-95.0,-94.0,-95.0,-88.0,-88.0,-87.0,-85.0,-86.0,-85.0,-85.0,-89.0,-85.0,-68.0,-68.0,-67.0,-67.0,-67.0,-67.0,-87.0,-87.0,-87.0,-100.0,-100.0,-100.0,-95.0,-63.0,-62.0,-62.0,-71.0,-71.0,-70.0,-92.0,-93.0,-95.0,-96.0,-97.0,-91.0,-89.0,-91.0,-89.0,-88.0,-89.0,-91.0,-80.0,-81.0,-80.0,-84.0,-85.0,-85.0,-97.0,-91.0,-100.0,-83.0,-79.0,-85.0,-85.0,-84.0,-84.0,-84.0,-84.0,-88.0,-86.0,-87.0,-82.0,-79.0,-82.0,-79.0,-74.0,-73.0,-74.0,-74.0,-77.0,-86.0,-90.0,-79.0,-83.0,-83.0,-86.0,-91.0,-91.0,-75.0,-75.0,-76.0,-76.0,-76.0,-77.0,-102.0,-92.0,-91.0,-97.0,-66.0,-66.0,-65.0,-77.0,-80.0,-77.0,-83.0,-82.0,-100.0,-100.0,-97.0,-98.0,-96.0,-89.0,-89.0,-97.0,-101.0,-44.0,RP1
